12:13:45.256 [DEBUG] bus.agent.started  type=agent.started
12:13:45.258 [DEBUG] bus.session.created  type=session.created
12:13:45.264 [DEBUG] bus.message.sent  type=message.sent
12:13:45.264 [DEBUG] bus.llm.started  type=llm.started
12:13:49.450 [DEBUG] bus.llm.completed  type=llm.completed
12:13:49.475 [DEBUG] bus.message.sent  type=message.sent
12:13:49.475 [DEBUG] bus.tool.called  type=tool.called
12:13:49.524 [DEBUG] bus.tool.completed  type=tool.completed
12:13:49.543 [DEBUG] bus.llm.started  type=llm.started
12:13:52.541 [DEBUG] bus.llm.completed  type=llm.completed
12:13:52.560 [DEBUG] bus.message.sent  type=message.sent
12:13:52.560 [DEBUG] bus.tool.called  type=tool.called
12:13:52.753 [DEBUG] bus.tool.completed  type=tool.completed
12:13:52.776 [DEBUG] bus.llm.started  type=llm.started
12:13:55.639 [DEBUG] bus.llm.completed  type=llm.completed
12:13:55.659 [DEBUG] bus.message.sent  type=message.sent
12:13:55.673 [DEBUG] bus.session.updated  type=session.updated
12:13:55.673 [DEBUG] bus.agent.completed  type=agent.completed
